Number ,Date,Rating ,Label ,User,Review
140,6 Maret 2023,5,Possitive,Novi RafikaDewi,"Aplikasi yg sangat membantu sekali , aplikasi ini kita bisa melaporkan gangguan listrik dengan cepat ,dengan tanggapan nya jga cepat ,selain itu di aplikasi ini kita bisa bertransaksi untuk membeli pulsa sendiri"
141,2 Maret 2023,5,Possitive,Iqbal Fima Hamdana,"Aplikasi dari PLN yg sangat membantu, semua serba mudah, semua info tentang listrik ada disini... Terus semangat PLN, selalu berbenah, jangan mudah puas di era teknologi saat ini"
142,10 Maret 2023,5,Possitive,Khairul Watoni,"Pas masukin token,keterangannya gagal terus, akhirnya saya mengajukan pengaduan lewat PLN Mobile dan mendapatkan reapon, akhirnya semua teratasi dengan cepat dan tepat. Terima kasih PLN Mobile."
143,7 Maret 2023,1,Negative,abdul Hamid,"Kenapa app nya error mau melakukan pengadun ketika upload photo dari kamera hp langsung selalu kembali ke menu utama Jadi gagal terus pengaduannya mohon di perbaiki karena ini penting App ga guna udh email ke developer nya sudah di ikutin panduanya memory udh dikosongin dan jaringan jg kuat masih ga ada perubahan mendingan dihapus aja app nya ga guna kalau ujung-ujungannya harus tlp, sudah sy clear cache tetapi masih eror seperti itu mohon tindaklanjuti nya"
144,13 Maret 2023,2,Negative,Januri Elmessyah,"Tolong dong di perbaiki aplikasi pln mobilnya untuk kendaraan bermotor viar Q1 , masa tiap kali mau tukar batre gk mesin batre yg rusak aplikasinya eror, tiap kali mau tukar batre gk bisa ke cek batrenya selalu tanda ❌ refres kembali , tapi tetap aja sama.."
145,14 Maret 2023,5,Possitive,Ardy Tamps,"Good Job PLN, dgn hadirnya App ini membuat pelanggan jd lbh mudah dan cepat menghubungi dan mendapatkan layanan. Hanya saja oknum petugas lapangan kurang ramah (pengalaman ketika malam hari petugas yg memperbaiki kwh meteran luar di rumah saya). Core Value BUMN seharusnya dpt dipahami dan diterapkan dri pimpinan teratas sampai kepada karyawan terendah/petugas lapangan sekalipun."
146,8 Maret 2023,5,Possitive,Rizkika Aprilia,Baru kali ini nemu aplikasi sebagus dan sekeren ini sih Suka bgt sama aplikasi yg satu ini bermanfaat banget tdk ribet sama sekali saat di gunakan fitur2 nya juga lengkap pokoknya the best bgt nyesel baru download sekarang kenapa ndk dari dulu aja menurut aku aplikasi ini sudah sangat sempurna tidak ada yg perlu di perbaiki lagi praktis banget aku kasi reting 1jt buat aplikasi ini🤩🤩🤩
147,7 Maret 2023,1,Negative,fajri hidayat,"Semakin tidak bermutu kesini nya susah menjangkau signal, sedangkan signal data/paket kencang dan wifi pun kencang."
148,8 Maret 2023,5,Possitive,Komang Putri,"Aplikasinya cocok untuk kaum mager karena ga perlu keluar rumah lagi untuk bayar listrik, beli token dll karena dari hp udah bisa melakukan itu semua melalui pln mobile."
149,3 Maret 2023,5,Possitive,Robby Yanwar,"Fitur yang diprovide pada aplikasi ini sangat lengkap dan banyak, UI nya juga sangat user friendly sehingga pelanggan mudah menggunakannya"
150,18 Maret 2023,1,Negative,Hasyim Samad,"Sudah berulang kali coba pilih lokasi dimenu pasang baru padahal akurasi titik lokasi sudah saya aktifkan semua, kenapa akurasi dipilih lokasi tidak bisa memuat lokasi."
151,2 Maret 2023,1,Negative,Umi Latifah,"Gangguan muluuuuuuuu, gmn mau tuker baterai ini mah. Ngandelin charger mah makan waktu 3-4 jam. Pengisian. Tolong segera perbaiki sistem nya"
152,12 Maret 2023,1,Neutral,ni'am Sukri,"Aplikasinya bagus kalo untuk masalah fitur & pelayanan PLN. yang saya sayangkan kenapa setelah saya berlangganan iconet, pembayaran pertama yg masuk ketagihan PLN mobile saya ternyata tagihan orang lain, padahal saya tidak pernah memasukan id pelanggan tersebut. setelah melakukan pembayaran tagihan ternyata yg terbayarkan tagihan orang yg id pelanggannya saya tidak tau dan tidak pernah memasukan keaplikasi saya..."
153,19 Maret 2023,1,Negative,wila tiara,Pertama download app ini saat ada masalah dengan padamnya listrik dirumah saya dan tidak membantu sama sekali sudah berkali2 laporan melalui telpon tidak ada perbaikan bahkan ini sudah 2hari listrik dirumah saya padam. Harus bagaimana lagi kami ini melapor??
154,3 Maret 2023,1,Negative,Generasi Oeroeg,"Kirain dengan aplikasi bisa mempermudah, eh untuk masukin nomor NPWP dan NIK aja susahnya minta ampun malah balik lagi ke data yang lama... Gimana nih min makasih"
155,6 Maret 2023,5,Possitive,Luffiah Oprisa,"Benar-benar definisi all in one app yang sangat membantu. Pasang baru, lapor gangguan, beli token bisa semuaaa.. keren pln mobile👏🏻🤘🏻"
156,7 Maret 2023,5,Possitive,Adi Kusuma,"Dengan aplikasi PLN Mobile semua jadi lebih mudah, tidak ribet,apalagi saat mau melapor terjadinya ganguan listrik,petugas sigap penanganan jadi lebih cepat, buat yang belum download dan install aplikasi ini silakan di download, banyak fitur keren dari PLN disana."
157,4 Maret 2023,1,Negative,Cekiong,Sudah login via email. lanjut via ponsel. Disuruh verifikasi email. verifikasi berhasil kembali ke app disuruh verifikasi lagi. login muter² terus gak bisa masuk2.
158,9 Maret 2023,5,Possitive,Eka Ardianto Putro Bahari,"Dengan memakai aplikasi PLN Mobile semua kebutuhan pelayanan terkait kelistrikan dll sebagainya bisa langsung menggunakan PLN Mobile, dan fitur menarik nya salah satu nya ada tracking/status petugas yantek dlm melakukan respon dari pengaduan/keluhan yg di laporkan oleh pelanggan. Dan masih ada fitur menarik lainnya lagi. Segera yg belum memiliki Aplikasi PLN Mobile lgsg install saja di play store, yg sdh install silahkan di gunakan menu"" yg ada di PLN Mobile sesuai dgn kebutuhan masing-masing"
159,17 Februari 2023,5,Possitive,hasrul coey,"Sangat membantu, aplikasi ini memudahkan kita dlm pelaporan gangguan dan dapat memonitor progres perbaikan listriknya, ada fitur tambah daya dan pasang baru, ada simulasi biayanya lagi. Semoga ada update lg terkait fitur2 keren ke depannya untuk lebih best lagi aplikasinya. Kereen, mantaapp.."
160,8 Maret 2023,5,Possitive,Meyson S. Liganda (Stevanus),"Setelah di update, sehingga mempermudah pembelian token, juga banyak fitur-fitur lannya yang tersedia. Terimakasih pln mobile semua bisa jadih mudah.."
161,18 Maret 2023,5,Possitive,Crest Jember,"Mantul. pelayanan langsung respon NO LIMIT apk yg anti ribet. jika ada yg bilang apk ini gk bermanfaat, kemungkinan dari cara penggunaanya gak faham & hp.nya agak sedikit gangguan di jaringannya masing"""
162,21 Maret 2023,5,Possitive,Syilvia Laurent,"kalau dlm hal pengaduan listrik, sy lebih suka langsung telpon ke call center, karna lebih cepat diresponnya. untuk yg lainnya sudah bagus, lebih menghemat waktu semisal mau tambah daya atau yg lain2. terima kasih PLN, semoga bisa lebih baik lg kedepannya."
163,28 Februari 2023,1,Negative,bocah ganteng,"Aplikasi apaan ini, saya cari vocher diskon, vocher belanja dll, kok ga ada. & terkesan banyak ketidakterbukaan. Mungkin hanya segelintir orang (yg dekat dg pihak pln) yg bs mengakses apk ini fullfitur. Hmm.. Berbau ada udang dibalik rempeyek. Atau mungkin apk ini belum disempurnakan, padahal saya sudah pakai apk ini sejak 2thn yg lalu tp tetap blm sempurna saja. Hmm..."
164,17 Maret 2023,1,Negative,Muhammad Fikri Arifin,Setiap saya membeli token Penukaran batrai melalui ovo selalu saja token ketelen (pembayaran berhasil namun token tidak muncul) sehingga saya rugi. Ini tidak sekali tapi sering dialami oleh para driver grab. Bagaimana penanganan nya ini?? Sistem bobrok
165,21 Maret 2023,5,Possitive,herminah ali herminah,Dengan adanya aplikasi PLN Mobile ini sangat mempermudah untuk melakukan pengaduan terkait masalah kelistrikan kita. Petugasnya juga fast respon tidak terlalu menunggu lama konfirmasinya berdasarkan pengalaman saya atas pengaduan( isi token gagal) hanya 2 jam sudah ada konfirmasi.
166,18 Maret 2023,2,Negative,Isty Schatzy,"Sudah transaksi iconnet karena lihat di aplikasinya area saya sudah tercover .. tapi setelah 6 hari tidak ada pemasangan dan komplain ke cs service malah bilang area tsbt belum bisa di pasang dan di sarankan untuk d refund ... Proses refund ribet banget,dan pengembalian max 60 hari kerja .. sangat di sayangkan .. seharusnya kalau area belum bisa di pasang iconnet di aplikasi jangan di cantumkan area sudah tercover!!"
167,17 Maret 2023,5,Possitive,Patibura,"Aplikasinya bagus, penajuan pemasangan baru cepat direspon. Hanya sedikit masukan kalau bisa untuk pengisian token dan untuk melanjutkan pembayaran bisa di tambahkan dengan indomarer atau alfa mart. Terima kasih"
168,20 Maret 2023,5,Possitive,Ade Apriani,Pertama kali instal apl pln untuk pengaduan matlis dan gercep banget. Padahal di status nya dibatalkan tapi pln tetep menghubungi lewat kontak untuk memastikan. Makasih apl nya berguna.di saat call center harus pake pulsa sedangkan punyanya kuota internet 🤭. Makasih PLN
169,21 Maret 2023,5,Possitive,aDjiE diAji,"Mantaps, tanggap, dan tetap semangat Sayangnya kenapa hanya bisa di akses di android, kenapa sekarang pln.co.id sudah tidak bisa diakses utk pasang baru tambah daya dll padahal bnyk jg pengguna yg lebih nyaman pake PC, kalo bisa dibuka lagi gan, jadi bisa pake PLN Mobile bisa jg pake PC"
170,17 Maret 2023,5,Possitive,yermias Knaofmone,"Aplikasi ini sangat membantu sekali dengan fitur pegaduan, dengan pelayanan yang ramah dan cepat. Semoga kedepannya semakin lebih baik lagi untuk fitur-fitur yang lainnya juga.."
171,1 Maret 2023,5,Negative,Vera Soraya,"Lampu rumah mati dari pagi , ditelfon bilangnya 1jam atau 3 jam tapi sampe malem masih belom nyalah juga. Bayar tepat waktu tapi kayak gini. Responnya kurang cepet. Cuma minta alamat tapi ga dtg2. Baru iniii kecewa sama PLN."
172,6 Maret 2023,1,Negative,Green,"aplikasi tidak update, sudah bayar via virtual notifikasi di PLN mobile kadaluarsa. saldo udh kepotong. Gimana sih.!!!!"
173,20 Maret 2023,1,Negative,Lilik Latief,"Pelayanan pelanggan buruk sekali,listrik mati dari siang krn ada hujan angin,, sudah laporan krn gk nyala2 sampai sore sudah tlpon sampai 3x sampai tengah belum ada tindak lanjut tapi status aduan berubah lampu sudah menyala??? Belum ada yg datang atau menghubungi !! Tlpon cs lagi dikasih no adauan yg berbeda setelah 3jm saya cek tiba2 status aduan saya dibatalkan??!pln darmo permai sby pelayanan buruk sekali . Tapi telat bayar sehari krn kelupaan saja lgsung dapat surat peringatan pemutusan👎"
174,21 Maret 2023,5,Possitive,X Care,"sangat membantu dan memudahkan sekali. aplikasi sangat mudah di pergunakan dan di pahami. baik bahasa maupun tata letak menu, sangat mudah di mengerti"
175,28 Februari 2023,4,Neutral,Haryanto Tjahjadi,"Sepertinya aplikasi belum lengkap dan pelayanan belum maksimal. Contoh : Pengaduan saya dikatakan sudah ada pada halaman depan aplikasi, tapi tidak saya temukan. Pada menu pengaduan, dengan mengisi kode keluhan, baru pengaduan saya ditampilkan 1 arah, berupa laporan terjadinya keluhan dan tindak lanjut yang sudah dilakukan di internal PLN. Kesempatan untuk diskusi tidak ada, juga kesempatan untuk bertanya tentang tindak lanjut yang tidak ada effek terhadap keluhan saya tidak bisa dilakukan."
176,20 Maret 2023,1,Negative,restiana novia,"Pelayanan nya sama sekali tidak ada respon, udh beberapa kali buat laporan ga ada yg ditanganin, skrng kabel rumah terputus karna ada pohon tumbang tapi gaa da satupun yg dateng ke lokasi, status dilaporan sudah selesai tapi nihil ga ada yg dateng sama sekali, makasih"
177,16 Maret 2023,1,Negative,Srii Lestari,Tolong perbaiki sistem kerja tim pln .. 3 hari laporan saya tidak ada tindakan malah di aplikasi sudah selesai padahal tidak ada sama sekali yg datang dari PLN saya sangat kecewa dengan pln klo boleh ga ada bintang saya ga mau kasih bintang !!
178,2 Maret 2023,4,Possitive,Anis Miryati,"Dari awal download sampe bulan Februari, seneng banget karena gratis biaya adm, pas bulan Maret isi token, kena adm padahal udah pake mandiri VA.. Dr awal bias gratis, pas kemaren top up byr adm, jadi rasanya down.."
179,21 Maret 2023,5,Possitive,Ron Bagboll,"Wih aplikasi ini sangat canggih dan bermanfaat sekali,sekalinya ada masalah di kilometer saya saya bisa langusng menghubungi petugasnya dan di respond sangat baik dan langsung di kerjakan dengan baik tanpa ada kendala apapun"
180,28 Februari 2023,1,Negative,Otong Kosasih,"Pengalaman buruk beli iconnet, dan tidak kejelasan antara teknisi dan aplikasi, membuat saya kesal sendiri, karena kata teknisi sudah penuh dan dicancel olehnya, dan sudah ikuti prosedur refund, tapi ditolak karena masih proses perjalanan atau perluasan jangkauan. Saya sudah input refund lagi untuk kedua kalinya, menunggu lagi jadi lebih kesel lagi"
181,27 Februari 2023,1,Neutral,Lewong Chanel,aplikasinya bagus cuman iconetnya pelayan kurang cepat. wifi trobel lama perbaikannya. tolong di percepat lagi untuk perbaikannya.
182,1 Maret 2023,5,Possitive,Rina Rusiana,"Saya mengalami kendala saat penginputan token listrik, selalu gagal. Saya langsung lapor PLN senter. Pangaduan saya langsung ditangani. Penanganannya cepat dan ramah. Terimakasih utk PLN Cikande"
183,21 Maret 2023,5,Possitive,Nanang Bhramantya,"Pelayanan petugas setelah pengaduan via aplikasi sangat cepat & tepat..bukan sekedar aplikasi formalitas saja, sangat membantu pelanggan."
184,16 Februari 2023,1,Negative,Pradina Agusartawan,Saya sudah verifikasi tpi tdk bisa . Aplikasi kayaknya belum siap pakai . Aplikasi tidak bisa dipakai tambah daya atau pasang baru. Tidak seperti Aplikasi Laen setelah verifikasi langsung bisa. Jika belum siap pakai gak usah di Update ke versi Baru. Aplikasi tidak bisa ambil foto pada saat tambah daya.. Sesuai petunjuk arahan aplikasi untuk tambah daya dan pasang baru tidak bisa mengisi data pemohon dan foto. Masih muncul gambar emogi warna Merah. Kenapamesti nunggulamaverifikasi hampirsebulan
185,10 Maret 2023,5,Possitive,Kiki Apriliawan,"Dengan adanya aplikasi PLN mobile ini sangat membantu dan mempermudah untuk laporan gangguan dan informasi tentang pemadaman setiap saat, atau untuk urusan perubahan daya,dll.."
186,1 Maret 2023,5,Possitive,sriyatun ppaibatu,Aplikasi yang powerful untuk segala kebutuhan perlistrikan. Pengaduan cepat tertangani dan yang paling enak beli token lebih hemat. Good job PLN.
187,30 Januari 2023,5,Possitive,Iqbal Ridwan,"Aplikasinya sangat membantu saat ada gangguan kelistrikan dirumah, bisa langsung laporan lewat pln mobile, jadi ga perlu repot2 ke kantor PLN buat laporan, apalagi kalau malam hari atau pas hujan gede. Selain itu juga, selalu dapat pemberitahuan kalau didaerah kita mau ada pemadaman utk perbaikan jaringan listrik, jadi kita bisa antisipasi/siap2 sebelum pemadaman."
188,5 Maret 2023,5,Possitive,madi rizal,"Mantap ini aplikasi ...pelayanan nya cepat ,bahkan pihak adm app nya menelepon kita ...luar biasa ...sya kasih 5 deh bintang nya ...klo ada bintang lebih pasti akan kasih semua .. mantaaappp...."
189,3 Maret 2023,5,Possitive,arief k,"mantap,, sangat membantu, aplikasi yg sangat solutif, benar2 membantu, beli token bisa sambil rebahan, gak repot ga ribet, makasih pln mobile. berakhalak andal terbaik pokoke"
190,5 Maret 2023,1,Negative,Aaenha,"Aduh min, token saya dah mau abis, saya beli token di aplikasi ini, saldo terpotong tapi transaksi gagal, yang bener deh.. gimana ini sungguh ku menyesal mendownload nya"
191,31 Januari 2023,5,Possitive,DINI DWI,"Aplikasi keren.. Semenjak pakai ini, semua hal yg berhubungan dengan listrik (tagihan, gangguan, dll) bisa dengan mudah dilakukan.. yang paling aku suka ada fitur cek riwayat penggunaan tiap bulannya, sangat bermanfaat.."
192,7 Maret 2023,1,Negative,a. wira,History komplain jangan dihapus!!! Komplain dari bulan september 2022 sampai sekarang belum beres tetapi history sudah dihapus oleh sistem. Lebih baik via email jadi ada riwayat percakapan serta bukti2. Jangan sampai kejadian kesalahan dari PLN yang tanggung pelanggan. Aplikasi otomatis menyelesaikan komplain walau tidak ada tindak lanjut?
193,20 Maret 2023,1,Negative,Fajar Ifam,"Sudah daftar pemasangan baru,sudah bayar juga lewat online,masih lama juga belum di proses,katanya di permudah,datang ke kantor PLN suruh daftar online saja ternyata masih lama juga"
194,1 Maret 2023,3, Negative,Momo Mozako,"Sudah bisa konek server tapi sekarang aplikasi tidak respon untuk catat meter padahal sudah masuk tanggal 23. Tagihan listrik juga tidak keluar, padahal dicek di aplikasi lain sudah keluar."
195,28 Februari 2023,1,Neutral,Sofyan Hadi,Sy pengguna electric vehicle knp saat mau menambahkan kendaraan sering gangguan sistem atau v205... Katanya suruh masuk versi beta.... Tp versi betanya penuh gmn ini solusinya
196,19 Maret 2023,5,Possitive,Muhammad Johan,"Minta bantu beli token listrik, saldo terpotong, tapi no. Stroom belum terima. Keren.. Sangat membantu apps nya."
197,24 Januari 2023,5,Possitive,Nursin Nyak raja,"Aplikasinya bgus, sampai saat ini tidak ada masalah yg berarti, aplikasinha juga mudah digunakan dn pencatatan meternya juga bgus, sebagai pencatatan perkiraan kisaran biayanya, bisa liyat riwayat pemakaian juga jdi bisa dinilai sndiri. Good app, tingkatkan sistemnya 👍"
198,28 Februari 2023,5,Possitive,Bang Ren,"Pokoknya semua wajib instal, aplikasi sangat mempermudah.. Kita tidak perlu repot kalo masalah listrik, tinggal klik masalah selesai"
199,7 Januari 2023,5,Possitive,Puput Hantari,"Cukup bagus aplikasinya tapi sayang bagian penukaran poin sering gangguan, loadingnya juga lama, up grade akun juga lemot jadi sampai sekarang gak bisa dipakai. Tolong diperbaiki aplikasinya agar gak lemot loadingnya...terimakasih."
200,5 Februari 2023,5,Possitive,Fahrani Mawarni,"Aplikasi super super membantu... Awwwwwwwwhhhhhhhhhhh luar biasa, install karena meteran dirumah bermasalah! setelah diinstal langsung ke menu pengaduan and than setelah pengaduan di laporkan beberapa menit doang ada yg wa konfirmasi terkait pengaduan nya dongg padahal pengaduannya masih pagi bgt tuuu, 06.00 WIB😭😭😭😭✨✨✨✨✨✨. Super cepat kaya kilattt. Thx PLN thx so much ✨🔥🔥"
201,16 Februari 2023,5,Possitive,Julius Risqi,"Sejak ada aplikasi PLN mobile saya selalu dimudahkan salam mengecek rekening pembayaran saya setiap bulannya, begitu juga saat ingin melakukan pengaduan perihal gangguan kelistrikan, semuanya sangat mudah, petugas bergerak dengan sigap dan tanggap, pln terbaik"
202,14 Januari 2023,1,Negative,Indra Dermawan,"Pengalaman pembelian token listrik via aplikasi ini tanggal 9/1/23 proses pembayaran token sudah lunas dan ada bukti bayarnya, tapi tidak ada balesan nomor tokennya.. sudah komplain via aplikasi via email sampai saat ini tgl 14/1/23 belum ada hasil apakah di refund atau pengiriman nomor token, seperti menggantung aja prosesnya tidak ada kejelasan.. Bikin kapok.."
203,27 Februari 2023,3,Neutral,Don P,"OCR mohon diperbaiki karena tagihan jadi melonjak karena kesalahan scan OCR membaca angka, mohon diperbaiki dan bila masih beta sebaiknya jgn d launch, jika perlu ada fasilitas koreksi data bila tanpa sengaja terkirim, kemudian agak sulit utk background meteran yg sdh digital, krn backgroundya tdk hitam, kondisi sdh diselesaikan via pln 123, tks"
204,3 Februari 2023,5,Possitive,Hasibuan Zulhan,"Sejak adanya pln mobile, semua jd mudah, mau bayar listrik, perubahan daya, pasang baru, dan pengaduan gangguan listrik, pokoknya mantap deh. Aplikasinya sangat lengkap. Pln memang terbaik"
205,17 Februari 2023,5,Possitive,Elia Nurelia,"Alhamdulillah dengan adanya PLN Mobile ini mempermudah pada saat kehabisan token, pada saat ingin tau informasi tagihan, info tambah daya, info pasang baru, informasi ketika pemadaman, pengaduan gangguan, info promo-promo yang lagi Hits di PLN, mempermudah sekali, semoga pelayanan nya bisa lebih ditingkatkan☺"
206,21 Februari 2023,5,Possitive,Ira Santika,"Baru pertama kali pakai aplikasi pln, Alhamdulillah sangat membantu untuk mendapatkan pengaduan karena tiba2 kwh saya menunjukan ""periksa"", aplikasinya sangat membantu menghemat waktu tanpa langsung datang ke kantornya, dan pelayanannya cepat.. Terima kasih :)"
207,22 Februari 2023,5,Possitive,kevin kaseh,"Mantapp sekali Aplikasi yg all in one,terpercaya,dan efektif, Sangat embantu sekali dalam melayani kebutuhan pelanggan Tp kalo boleh kasih saran Tersedia Doc PDF tutorial penggunaan/fungsi-fungsi dan Fitur-fitur yang tersedia yang bisa didownload agar langsung dalam aplikasi agar memudahkan pengguna dapat lbih menguaaai penggunaan aplikasi🙏🙏🙏🙏"
208,28 Januari 2023,5,Possitive,Hizbal Fasaofa (Opa),"Alhamdulillah aplikasi ini memudahkan saya untuk mengajukan pengaduan ataupun keluhan terkait gangguan kelistrikan di lingkungan rumah, ga bingung hrs kemana mengadu. Selain itu saya juga berlangganan internet dari provider iconnect melalui aplikasi pln mobile ini. Sukses selalu, tingkatkan lagi pelayanannya. Bravo PLN."
209,24 Januari 2023,3,Neutral,Roberth Patty,"Aplikasi Gangguan tidak informasi di email atau no HP yang tedaftar, mohon lebih profesional, untuk kenyamanan di era serba modern ini, tolong waktu catat meter juga diperpanjang dong sampai tanggal akhir bulan supaya lebih good lagi. Dan 1 lagi kalau ada info pemadaman tolong diinfokan, berapa lama agar kita pengguna PLN Mobile bisa tau infonya. Mksh bpk/ibu skalian. Semoga dapat dibenahi yang kurang2nya ya."
210,17 Februari 2023,5,Possitive,M. Rayzen Haidar,"terimakasih app nya, udah 2 kali meteran pulsa dirumah mengalami PERIKSA sehingga susah utk ngisi pulsa,lewat app ini saya adukan dan ditangani dengan baik. tetapi dari petugas terahir menyarankan utk ganti mesin meteran,saya belum tahu prosedur penggantian mesin meteran dan apakah dipungut biaya jika diganti mesin meteranya? terimakasih pln"
211,20 Februari 2023,5,Possitive,Bagus Wicaksono,"Aplikasi bisa membantu mendapatkan informasi pemadaman, pemasangan, migrasi, penambahan daya dan pengaduan gangguan listrik. Aplikasinya sangat membantu menghemat waktu agar tahu seputaran PLN tanpa datang langsung ke kantor. Pokoknya mantap PLN selalu di depan"
212,15 Januari 2023,5,Possitive,Rosyikh Ridlo,"Dear pln mobile, Good apk tapi belum the best. Tantangan buat kalian, Kalau bisa disediakan juga menu untuk check sisa kwh secara real time, bukan perhitungan estimasi berdasarkan riwayat pemakaian. Jika bisa,,, ini membuktikan bhw apk inilah yg terbaik tiada tara"
213,15 Januari 2023,1,Negative,heryanto rian,Saya sebagai pelanggan pln sangat kecewa. Uda lama saya daftar pasang baru uda lama nunggu katanya dari aplikasi nya salah alamat. Aplikasi ini benar2 mempersulit pelanggan pln jika data salah harus ulang baru nunggu lagi padahal kami kan bayar . Sangat mengecewakan
214,24 Februari 2023,5,Possitive,"Trivo,x R","Sangat terbantu sekali dengan Aplikasi PLN Mobile,Awalnya meteran saya terganggu saat input nomor tokenlistrik, namu aplikasi ini ada, saya pendauan melaluiaplikasi ini, akhirnya terbantu oleh petugas PLN melalui Aplikasi ini. terimkasih banyak sangat terbantu"
215,6 Februari 2023,5,Possitive,Laela Islamiah,"Wahh bagus sekali aplikasi PLN mobile ini, di era yg digital memang harus mengikuti zaman yg serba era digital ini, sangat memudahkan pengguna, apalagi kaum mageran, dan tentunya disaat cuaca lgi tidak bersahabat kita bisa mengakses nya hanya lewat rumah saja. Sukses terusss"
216,3 Februari 2023,4,Neutral,Anggara Yudha Perwira,"aplikasi nya gak update tagihan meski sudah direfresh,logout login cek di aplikasi pembayaran lain tagihan sudah ada,tapi di aplikasi PLN sendiri belum muncul....tp itu kemarin,hari ini sudah normal lagi,thanks pln sdh mengkonfirmasi dan memperbaiki layanannya"
217,22 Januari 2023,5,Neutral,M. Arief Samsudin,"1. Bebrapa fitur belum bisa diakses, misalnya Grafik pemakaian. 2. Apabila memiliki 2 nomor rekening atau lebih, Detil informasi hanya dapat menampilkan 1 nomor rekening. 3. Titik Wilayah/Titik Lokasi tidak sesuai Aktual Anyway... Tambahan hari ini Selass 25 Mei 2021. Sudah daftar utk Tambah Daya, Notif saya terima ""Progres dapat dilihat pada MENU STATUS PERMOHONAN"" dan ternyata menu dimaksud TIDAK ADA (sudah konfirm ke 123)."
218,5 Februari 2023,5,Possitive,rudy kogoya,"Sangat terbantu sekali dengan Aplikasi PLN Mobile, Awalnya meteran saya terganggu saat input nomor token listrik, namu aplikasi ini ada, saya pendauan melalui aplikasi ini, akhirnya terbantu oleh petugas PLN melalui Aplikasi ini..!! Buruang donlwod aplikasi ini teman2, seperti mngalami hal sama seperti saya.. sukses selalu PLN Mobiile..terimkasih banyak sangat terbantu..🙏🙏🙏❤️❤️❤️"
219,30 Januari 2023,5,Possitive,Alfatih Rasyid S_ Athiyyah Rafilah P,Aplikasinya sangat bagus. Sudah bisa mengakses semua menu. Respon untuk pengaduan gangguan lebih cepat.selalu tingkatkan pelayanan nya agar menjadi lebih baik lgi
220,24 Januari 2023,5,Possitive,El Baba,"Aplikasi ini membuat PLN lebih dekat ke pelanggan, ada trobel di meteran listrik, langsung buat laporan di menu pengaduan pake aplikasi, ga lama setelah itu ditangani sama petugas PLN. Dan masih ada beberapa menu-menu di aplikasinya yg berguna sekali. Ayo dong perusahaan2 layanan publik bikin aplikasi online yg all in one yg benar2 bisa digunakan seperti PLN."
221,22 Januari 2023,2,Negative,Seniman Mesuji,Semakin tidak jelas aturannya verefikasi ktp asli nama asli foto asli jaringan normal pakai wifi mengapa akun harus sama dengan nama asli? Apa guna ktp? Aturan System tak masuk logika. Saya curiga sepertinya aplikasi ini sengaja mempersulit untuk mengejar ratting deh. Jangan-jangan bukan resmi dari PLN
222,13 Februari 2023,5,Possitive,juna bird,"Sejak aplikasi ini dimunculkan , sudah saya pakai beberapakali dan sangat2 responsip untuk pengaduan pelanggan yg terutama, kemudahan isi token listrik , simulasi pembayaran pasang baru ,ubah daya dan migrasi juga sangat mudah dan terbuka, PLN terbaik 👍👍👍"
223,17 Februari 2023,5,Possitive,Maydider Albaz,"Aplikasinya mudah digunakan, sangat membantu sekali ketika mau laporan gangguan listrik. ditambah lagi ada pelayanan buat pasang baru dan juga tambah daya. Jadi tidak perlu repot lagi datang ke kantor pln"
224,25 Januari 2023,4,Neutral,Bayu Dwi Virdianto Wardoyo,"Min kenapa aplikasinya ada kata ""sedang ada gangguan di jaringan atau sistem"" terus gitu saya mengalami seperti itu sudah 2 mingguan tolong diperbaiki min aplikasinya mau bayar tagihan tdk muncul, nanti kalau telat bayar di denda malah saya yg rugi Sudah dihubungi oleh call center terimakasih atas penjelasannya kalo bisa di upayakan ada pemberitahuan dlu min sebelum perbaikan"
225,17 Januari 2023,5,Possitive,ALJUMATDI RAMADHANA KARISMA,"Aplikasi PLN Mobile sangat mudah untuk digunakan, efisien dan tidak ribet, serta memiliki fitur yang banyak. Bisa cek tagihan dan transaksi jadi lebih mudah. Mantapss dah aplikasi nya..."
226,19 Januari 2023,5,Possitive,Reynaldo Rajagukguk,"Aplikasi nya membantu sekali. Bisa bayar listrik tanpa biaya admin 😆. Lapor gangguan listrik padam fast respon. Ada jg marketplace nya, tp belum pernah coba. Selama saya install belum pernah masalah ini app. Trimakasih PLN semua makin mudah."
227,13 Januari 2023,2,Neutral,Epank C377,"Aplikasi ini sangat bagus dan membantu, akan tetapi pada pengisian dimenu pasang baru sangatlah ribet dan bertele2 dimana harus mengisi JLO dan NiDi, sehingga hal inilah yg membuat celah dimanfaatkan oleh para instalater2 nakal dng menambah tarif pasang baru."
228,21 Februari 2023,3,Negative,Syarwan Hamid,"Aplikasinya tidak terlalu berguna. Saya lapor pemadaman jam berapa, ditanggapi jam berapa, keburu tidur dan pekerjaan jadi tidak beres. Ingin cepat langsung telpon aja kantornya, karena ketahuan apakah memang ada orangnya atau tidak."
229,22 Januari 2023,5,Possitive,Tedy Agustian,"Ada gangguan nmr token tidak bisa masuk, lanjut laporan via aplikasi PLN mobile, dapat balasan 'nomor clear tamper' via WA, tinggal ikuti langkahnya yang sudah diberikan.... Akhirnya gangguan pun bisa diatasi sendiri tanpa kedatangan petugas PLN. TERIMAKASIH PLN MOBILE....🙏"
